time,queue
0.0,1
0.040423000000032516,1
0.040467000000035114,2
0.06385099999999966,1
0.06399599999997463,2
0.06400299999995696,3
0.08935699999994995,1
0.10735999999997148,1
0.10738600000001952,2
0.13324599999998554,1
0.13692600000001676,1
0.1369359999999915,2
0.13714900000002217,3
0.13715400000000955,4
0.13716599999997925,5
0.13716899999997167,6
0.1381860000000188,1
0.13819100000000617,2
0.1382019999999784,3
0.1382059999999683,4
0.1395949999999857,1
0.13959999999997308,2
0.16691800000000967,1
0.16692299999999705,2
0.1677869999999757,3
0.1677909999999656,4
0.16946499999994558,1
0.16947000000004664,2
0.17098799999996572,1
0.17099199999995562,2
0.17251699999997072,1
0.17252099999996062,2
0.17376600000000053,1
0.17376899999999296,2
0.17504399999995712,1
0.17504699999994955,2
0.17632100000002993,1
0.17632400000002235,2
0.177599999999984,1
0.17760299999997642,2
0.17894300000000385,1
0.1795479999999543,2
0.196933999999942,1
0.19694000000004053,2
0.19756199999994806,3
0.19756600000005164,4
0.1987450000000308,1
0.19875100000001567,2
0.19984099999999216,3
0.19984499999998206,4
0.2009289999999737,3
0.20093599999995604,4
0.20203300000002855,3
0.20203600000002098,4
0.20299199999999473,1
0.20299599999998463,2
0.203975000000014,1
0.2039790000000039,2
0.20487900000000536,3
0.2048849999999902,4
0.20923500000003514,1
0.20924000000002252,2
0.20974699999999302,3
0.20974999999998545,4
0.2106899999999996,1
0.21069699999998193,2
0.2149130000000241,1
0.21491900000000896,2
0.21540300000003754,3
0.21540700000002744,4
0.21631600000000617,1
0.21675900000002457,2
0.21676300000001447,3
0.21768499999996038,4
0.2176879999999528,5
0.22045800000000781,1
0.2204629999999952,2
0.22093800000004649,3
0.2209420000000364,4
0.22182099999997718,1
0.22182599999996455,2
0.23184600000001865,1
0.23185100000000602,2
0.23230100000000675,3
0.23230399999999918,4
0.23313099999995757,1
0.23313599999994494,2
0.23397699999998167,3
0.23398099999997157,4
0.24293699999998353,1
0.2429419999999709,2
0.24336300000004485,3
0.24336700000003475,4
0.24434499999995296,1
0.24435000000005402,2
0.24472400000001926,3
0.24472800000000916,4
0.24473199999999906,5
0.24564199999997527,6
0.2456449999999677,7
0.24564799999996012,8
0.24649399999998423,1
0.2464989999999716,2
0.2465029999999615,3
0.2473659999999427,4
0.2473690000000488,5
0.24737100000004375,6
0.24832200000003013,4
0.24832500000002256,5
0.24832800000001498,6
0.24942299999997886,1
0.24942699999996876,2
0.25068499999997584,1
0.25090099999999893,2
0.25090399999999136,3
0.2517890000000307,4
0.2518089999999802,5
0.25293599999997696,1
0.2529389999999694,2
0.25347599999997783,3
0.25347999999996773,4
0.2543719999999894,1
0.2543759999999793,2
0.2552369999999655,3
0.25523999999995794,4
0.2560519999999542,3
0.25605499999994663,4
0.25702000000001135,1
0.2570230000000038,2
0.2577119999999695,3
0.25771499999996195,4
0.25857799999994313,1
0.2585820000000467,2
0.25940000000002783,3
0.25940300000002026,4
0.26020100000005186,2
0.2602040000000443,3
0.26103200000000015,4
0.26103599999999005,5
0.26190599999995356,3
0.26190999999994347,4
0.2626659999999674,1
0.2626719999999523,2
0.2634500000000344,3
0.2634530000000268,4
0.2645230000000538,1
0.2645260000000462,2
0.26506800000004205,3
0.2650710000000345,4
0.2703790000000481,1
0.27038500000003296,2
0.27080799999998817,3
0.2708109999999806,4
0.27162699999996676,1
0.27163199999995413,2
0.27447400000005473,1
0.27447800000004463,2
0.274913999999967,3
0.2749179999999569,4
0.2809630000000425,1
0.2811709999999721,2
0.281174999999962,3
0.28215099999999893,4
0.2821649999999636,5
0.28290100000003804,3
0.2829060000000254,4
0.28375500000004195,3
0.28375900000003185,4
0.28460199999994984,1
0.28460499999994227,2
0.28542800000002444,3
0.28543200000001434,4
0.2864230000000134,1
0.28642899999999827,2
0.2876609999999573,1
0.2876700000000483,2
0.288112999999953,3
0.2881210000000465,4
0.28973199999995813,1
0.2897369999999455,2
0.29017499999997654,3
0.29017799999996896,4
0.2910789999999679,1
0.2910829999999578,2
0.29244900000003327,3
0.29245300000002317,4
0.2929139999999961,3
0.292917999999986,4
0.29411100000004353,1
0.2941170000000284,2
0.294695000000047,3
0.29469800000003943,4
0.29561599999999544,1
0.29561999999998534,2
0.2965070000000196,1
0.2965110000000095,2
0.2973610000000235,3
0.2973650000000134,4
0.29828299999996943,1
0.2982879999999568,2
0.2991749999999911,3
0.299178999999981,4
0.30025100000000293,1
0.30025399999999536,2
0.3009620000000268,3
0.30098099999997885,4
0.3029269999999542,1
0.3029319999999416,2
0.304442999999992,1
0.3044469999999819,2
0.30492000000003827,3
0.3049240000000282,4
0.30583599999999933,1
0.3058409999999867,2
0.306679000000031,3
0.30668200000002344,4
0.30790799999999763,1
0.307912999999985,2
0.3099650000000338,1
0.31017899999994825,2
0.31018300000005183,3
0.3110500000000229,4
0.31105300000001534,5
0.31191200000000663,3
0.3119299999999612,4
0.31273399999997764,3
0.31273699999997007,4
0.3135330000000067,3
0.31353599999999915,4
0.3145729999999958,1
0.31457799999998315,2
0.31522500000005493,3
