time,queue
0.0,1
0.017097000000035223,1
0.017233000000032916,2
0.0503720000000385,1
0.05044700000001967,2
0.050454000000002,3
0.07715400000000727,1
0.09716600000001563,1
0.09719000000001188,2
0.11850800000001982,1
0.12742400000001908,1
0.1549280000000408,1
0.15513200000003735,2
0.15513600000002725,3
0.15514899999999443,4
0.1551520000000437,5
0.15671600000001717,1
0.15672100000000455,2
0.15673200000003362,3
0.15673500000002605,4
0.15768600000001243,1
0.15769199999999728,2
0.18588800000003403,1
0.18589400000001888,2
0.18695400000001428,3
0.18696400000004587,4
0.1887450000000399,1
0.18875000000002728,2
0.19038100000000213,1
0.1903880000000413,2
0.19205900000002885,1
0.19206400000001622,2
0.19348500000000968,3
0.19348999999999705,4
0.19471000000004324,1
0.19471400000003314,2
0.19604800000001887,1
0.19605400000000373,2
0.1974700000000098,3
0.19747499999999718,4
0.1987420000000384,1
0.1993940000000407,2
0.20638600000000906,1
0.21452600000003486,1
0.2145320000000197,2
0.21517299999999295,3
0.2151770000000397,4
0.21639600000003156,1
0.21640100000001894,2
0.21750900000000684,3
0.21751199999999926,4
0.22654600000004166,1
0.22655300000002399,2
0.22712200000000848,3
0.22712699999999586,4
0.22821600000003173,1
0.2282210000000191,2
0.2292550000000233,1
0.2292590000000132,2
0.23028800000003002,1
0.23029200000001993,2
0.2319659999999999,1
0.2319720000000416,2
0.232511000000045,3
0.2325150000000349,4
0.2335010000000466,1
0.23350600000003396,2
0.23435499999999365,3
0.23435800000004292,4
0.23538000000002057,1
0.23538500000000795,2
0.23681700000003048,1
0.2370390000000384,2
0.23704300000002831,3
0.23790300000001707,4
0.2379060000000095,5
0.2384810000000357,6
0.23890900000003512,1
0.2389140000000225,2
0.2396659999999997,3
0.23966900000004898,4
0.25893400000001066,1
0.2589399999999955,2
0.2598570000000109,3
0.2598670000000425,4
0.26130600000004733,1
0.2613110000000347,2
0.27493300000003273,1
0.27494000000001506,2
0.27591300000000274,3
0.2759250000000293,4
0.2859940000000165,1
0.28600099999999884,2
