time,queue
0.0,1
0.5070949999999357,1
0.507129999999961,2
0.5391930000000684,1
0.5392440000000533,2
0.5392550000001393,3
0.5680720000000292,1
0.5958929999999327,1
0.5959159999999883,2
0.6162389999999505,1
0.6270660000000134,1
0.6270750000001044,2
0.6272280000000592,3
0.627236000000039,4
0.6272559999999885,5
0.6272599999999784,6
0.6292760000001181,1
0.629280000000108,2
0.6292860000000928,3
0.6292889999999716,4
0.6304920000000038,1
0.6304959999999937,2
0.6640890000001036,1
0.6640950000000885,2
0.6652779999999439,3
0.6652839999999287,4
0.6690350000001217,1
0.6690399999999954,2
0.6702400000001489,3
0.6702440000001388,4
0.6724630000001071,1
0.672467000000097,2
0.6743410000001404,1
0.6743470000001253,2
0.6762360000000172,1
0.6762470000001031,2
0.6780980000000909,1
0.6781029999999646,2
0.6798459999999977,1
0.6798510000000988,2
0.6816020000001117,1
0.6824670000000879,2
0.6921449999999822,1
0.6921509999999671,2
0.6929569999999785,3
0.6929609999999684,4
0.6970340000000306,1
0.6970390000001316,2
0.6977750000000924,3
0.6977790000000823,4
0.7330719999999928,1
0.7330830000000788,2
0.7338270000000193,3
0.7338300000001254,4
0.7352670000000217,1
0.7352720000001227,2
0.7366429999999582,1
0.7366460000000643,2
0.7380519999999251,1
0.7380550000000312,2
0.739477000000079,1
0.7394819999999527,2
0.740872999999965,1
0.7408769999999549,2
0.7422530000001188,1
0.7422579999999925,2
0.7436380000001463,1
0.74364300000002,2
0.7450060000001031,1
0.7457220000001143,2
0.7457249999999931,3
0.7471479999999247,1
0.7471530000000257,2
0.7484560000000329,1
0.7484620000000177,2
0.7534610000000157,1
0.7534660000001168,2
0.754222000000027,3
0.7542260000000169,4
0.7557240000001002,1
0.7557289999999739,2
0.7593770000000859,1
0.7593819999999596,2
0.7607190000001083,1
0.760723999999982,2
0.7633270000001176,1
0.7633330000001024,2
0.7659530000000814,1
0.7659570000000713,2
0.7685900000001311,1
0.7685950000000048,2
0.7710440000000744,1
0.7710489999999481,2
0.7731590000000779,1
0.7731630000000678,2
0.7752590000000055,1
0.7752640000001065,2
0.7768929999999727,1
0.7768960000000789,2
0.7785630000000765,1
0.7785679999999502,2
0.7802859999999328,1
0.7802930000000288,2
0.7816720000000714,1
0.7816760000000613,2
0.7832290000001194,1
0.7832370000000992,2
0.7845720000000256,1
0.7845770000001266,2
0.7861159999999927,1
0.7861210000000938,2
0.7875570000001062,1
0.7875619999999799,2
0.7888960000000225,1
0.7889000000000124,2
0.7904089999999542,1
0.790414999999939,2
0.7917010000001028,1
0.7917039999999815,2
0.7930370000001403,1
0.7930400000000191,2
0.7943749999999454,1
0.7943789999999353,2
0.7957400000000234,1
0.7957450000001245,2
0.7970880000000307,1
0.7970920000000206,2
0.7984380000000328,1
0.7984430000001339,2
0.7997700000000805,1
0.7997760000000653,2
0.8011010000000169,1
0.801106000000118,2
0.8022109999999429,3
0.8022149999999328,4
0.8034350000000359,1
0.8034400000001369,2
0.8046240000001035,1
0.8046289999999772,2
0.8071890000001076,1
0.8074940000001334,2
0.8074980000001233,3
0.8130550000000767,1
0.8130610000000615,2
0.813675000000103,3
0.8136790000000929,4
0.8148840000001201,2
0.8148889999999938,3
0.8190660000000207,1
0.8193780000001425,2
0.8193820000001324,3
0.820650999999998,2
0.8206540000001041,3
0.8250370000000657,1
0.8250430000000506,2
0.8257140000000618,3
0.8257180000000517,4
0.831421999999975,1
0.8317950000000565,2
0.8317990000000464,3
0.8333090000000993,1
0.833313999999973,2
0.8346960000001218,1
0.8347000000001117,2
0.8360900000000129,1
0.8360950000001139,2
0.8374450000001161,1
0.8374499999999898,2
0.8389310000000023,1
0.8389360000001034,2
0.8403279999999995,1
0.8403359999999793,2
0.8417879999999514,1
0.8417919999999413,2
0.8432190000000901,1
0.8432239999999638,2
0.8446989999999914,1
0.8447029999999813,2
0.8463380000000598,1
0.8463429999999335,2
0.8477840000000469,1
0.847789000000148,2
0.8491839999999229,1
0.849189000000024,2
0.8507520000000568,1
0.8507569999999305,2
0.8522090000001299,1
0.8522170000001097,2
0.8535229999999956,1
0.8535260000001017,2
0.855408000000125,1
0.8554129999999986,2
0.8563610000001063,3
0.85636599999998,4
0.8577840000000378,1
0.8577880000000278,2
0.8592290000001412,3
0.8592340000000149,4
0.8611829999999827,1
0.8611880000000838,2
0.8618819999999232,3
0.8618860000001405,4
0.8631980000000112,1
0.8632020000000011,2
0.8643630000001394,1
0.8643710000001192,2
0.8670630000001438,1
0.8670680000000175,2
0.8676920000000337,3
0.8676950000001398,4
0.8730800000000727,1
0.8734210000000076,2
0.8734249999999975,3
0.8746459999999843,1
0.8746490000000904,2
0.879137000000128,1
0.8791420000000016,2
0.8798080000001391,3
0.879812000000129,4
0.8810789999999997,1
0.8810829999999896,2
0.8824300000001131,3
0.8824349999999868,4
0.8850330000000213,1
0.8850380000001223,2
0.8857110000001285,3
0.8857140000000072,4
0.8869879999999739,1
0.8869919999999638,2
0.888347000000067,3
0.8883530000000519,4
0.8911530000000312,1
0.8911580000001322,2
0.8918229999999312,3
0.8918270000001485,4
0.8931410000000142,1
0.8931450000000041,2
0.8944390000001476,1
0.8944420000000264,2
0.8956929999999375,1
0.8956960000000436,2
0.8970919999999296,1
0.8970970000000307,2
0.8983580000001439,3
0.8983670000000075,4
0.8996329999999944,1
0.8996380000000954,2
0.900916000000052,1
0.9009200000000419,2
0.9031070000000909,1
0.9031119999999646,2
0.903784000000087,3
0.9037880000000769,4
0.9051140000001396,1
0.9051180000001295,2
0.9063750000000255,1
0.9063780000001316,2
0.9076050000001032,1
0.9076090000000931,2
0.9090430000001106,1
0.9090470000001005,2
0.9101900000000569,3
0.9101929999999356,4
0.9114549999999326,3
0.9114590000001499,4
0.9125690000000759,3
0.9125719999999546,4
0.9137319999999818,1
0.9137359999999717,2
0.9158360000001267,1
0.9158410000000003,2
0.9164160000000265,3
0.9164200000000164,4
0.9176070000000891,1
0.9176119999999628,2
0.9187170000000151,3
0.91871900000001,4
0.921051000000034,1
0.9210560000001351,2
0.9216490000001158,3
0.9216539999999895,4
0.9227640000001429,1
0.9227680000001328,2
0.9238520000001245,3
0.9274330000000646,1
0.9274410000000444,2
0.927993000000015,3
0.9279989999999998,4
0.9330870000001141,1
0.933093000000099,2
0.9336680000001252,3
0.9336720000001151,4
0.9347960000000057,1
0.9348019999999906,2
0.9358999999999469,3
0.9359150000000227,4
0.9369879999999284,3
0.9369910000000345,4
0.9390270000001237,1
0.9390310000001136,2
0.939630999999963,3
0.9396340000000691,4
0.9407410000001164,1
0.9407459999999901,2
0.9450440000000526,1
0.9450489999999263,2
0.9456680000000688,3
0.9456820000000334,4
0.9468389999999545,1
0.9468429999999444,2
0.9479929999999968,3
0.9479980000000978,4
0.9492279999999482,3
0.9492330000000493,4
0.9510150000000976,1
0.9510199999999713,2
0.9516439999999875,3
0.9516470000000936,4
0.9528099999999995,1
0.9528139999999894,2
0.9570790000000216,1
0.9570870000000014,2
0.9577120000001287,3
0.9577180000001135,4
0.9589169999999285,1
0.9589210000001458,2
0.9601059999999961,3
0.9601290000000517,4
0.9613939999999275,1
0.9613990000000285,2
0.9624929999999949,3
0.9630600000000413,1
0.9630680000000211,2
0.9642719999999372,3
0.9642770000000382,4
0.9655179999999746,1
0.9655219999999645,2
0.9667899999999463,3
0.9667950000000474,4
0.9690809999999601,1
0.9690860000000612,2
0.9697189999999409,3
0.969722000000047,4
0.9709159999999883,1
0.9709199999999782,2
0.9720710000001418,3
0.9720890000000963,4
0.9732269999999517,1
0.9732309999999416,2
0.975016000000096,1
0.9750209999999697,2
0.9756420000001071,3
0.9756449999999859,4
0.9767640000000029,1
0.9767679999999928,2
0.9811779999999999,1
0.9811859999999797,2
0.9817769999999655,3
0.9817829999999503,4
0.9829170000000431,1
0.9829220000001442,2
0.9840220000000954,3
0.9840249999999742,4
0.9851390000001174,1
0.9851430000001073,2
0.9870740000001206,1
0.9870820000001004,2
0.987634000000071,3
0.9876400000000558,4
0.9887860000001183,1
0.9887900000001082,2
0.9898570000000291,3
0.9898600000001352,4
0.9909460000001218,1
0.9909500000001117,2
0.9929560000000492,1
0.992964000000029,2
0.9942530000000716,1
0.9945170000000871,2
0.9945199999999659,3
